2019-10-25 15:42:10,571 | DEBUG | c.e.d.c.CartController | [main] | User not found with username : null | 
2019-10-25 15:42:10,621 | INFO | c.e.d.ECommerceApplicationTests | [main] | Starting ECommerceApplicationTests on PH-MTHAKUR with PID 24940 (started by mthakur in C:\Users\mthakur.CLINFO\Dropbox\java\projects\P04-eCommerce Application) | 
2019-10-25 15:42:10,621 | DEBUG | c.e.d.ECommerceApplicationTests | [main] | Running with Spring Boot v2.1.5.RELEASE, Spring v5.1.7.RELEASE | 
2019-10-25 15:42:10,622 | INFO | c.e.d.ECommerceApplicationTests | [main] | No active profile set, falling back to default profiles: default | 
2019-10-25 15:42:12,500 | INFO | c.e.d.ECommerceApplicationTests | [main] | Started ECommerceApplicationTests in 1.916 seconds (JVM running for 11.454) | 
2019-10-25 15:42:12,518 | DEBUG | c.e.d.c.ItemController | [main] | fetching item by name : item | 
2019-10-25 15:42:12,520 | DEBUG | c.e.d.c.ItemController | [main] | fetching item with id : 1 | 
2019-10-25 15:42:12,566 | INFO | c.e.d.c.CartController | [main] | submit order success : with id : null | 
2019-10-25 15:42:12,566 | INFO | c.e.d.c.CartController | [main] | submit order failed for user username : null | 
2019-10-25 15:42:12,568 | DEBUG | c.e.d.c.CartController | [main] | get order success with username : udacity | 
2019-10-25 15:42:12,569 | INFO | c.e.d.c.CartController | [main] | get order failed for user username : null | 
2019-10-25 15:42:12,600 | DEBUG | c.e.d.c.CartController | [main] | Find user by username : udacity | 
2019-10-25 15:42:12,602 | DEBUG | c.e.d.c.CartController | [main] | create user request : udacity | 
2019-10-25 15:42:12,603 | INFO | c.e.d.c.CartController | [main] | user creation Failed : Invalid password provided. | 
2019-10-25 15:42:12,603 | DEBUG | c.e.d.c.CartController | [main] | create user request : udacity | 
2019-10-25 15:42:12,603 | INFO | c.e.d.c.CartController | [main] | user creation Failed : Invalid password provided. | 
2019-10-25 15:42:12,604 | DEBUG | c.e.d.c.CartController | [main] | create user request : udacity | 
2019-10-25 15:42:12,605 | INFO | c.e.d.c.CartController | [main] | user creation success : with username : udacity | 
2019-10-25 15:53:07,717 | INFO | c.e.d.AuthenticationTest | [main] | Starting AuthenticationTest on PH-MTHAKUR with PID 28044 (started by mthakur in C:\Users\mthakur.CLINFO\Dropbox\java\projects\P04-eCommerce Application) | 
2019-10-25 15:53:07,727 | DEBUG | c.e.d.AuthenticationTest | [main] | Running with Spring Boot v2.1.5.RELEASE, Spring v5.1.7.RELEASE | 
2019-10-25 15:53:07,728 | INFO | c.e.d.AuthenticationTest | [main] | No active profile set, falling back to default profiles: default | 
2019-10-25 15:53:14,864 | INFO | c.e.d.AuthenticationTest | [main] | Started AuthenticationTest in 7.431 seconds (JVM running for 9.248) | 
2019-10-25 15:53:15,377 | DEBUG | c.e.d.c.CartController | [http-nio-auto-1-exec-2] | create user request : udacity | 
2019-10-25 15:53:15,562 | INFO | c.e.d.c.CartController | [http-nio-auto-1-exec-2] | user creation success : with username : udacity | 
2019-10-25 15:53:15,906 | INFO | c.e.d.c.CartController | [main] | Item added to cart successfully with item id : 1 | 
2019-10-25 15:53:15,914 | DEBUG | c.e.d.c.CartController | [main] | User not found with username : null | 
2019-10-25 15:53:15,919 | INFO | c.e.d.c.CartController | [main] | Item removed from cart with id : 2 | 
2019-10-25 15:53:15,920 | DEBUG | c.e.d.c.CartController | [main] | User not found with username : null | 
2019-10-25 15:53:15,980 | INFO | c.e.d.ECommerceApplicationTests | [main] | Starting ECommerceApplicationTests on PH-MTHAKUR with PID 28044 (started by mthakur in C:\Users\mthakur.CLINFO\Dropbox\java\projects\P04-eCommerce Application) | 
2019-10-25 15:53:15,981 | DEBUG | c.e.d.ECommerceApplicationTests | [main] | Running with Spring Boot v2.1.5.RELEASE, Spring v5.1.7.RELEASE | 
2019-10-25 15:53:15,982 | INFO | c.e.d.ECommerceApplicationTests | [main] | No active profile set, falling back to default profiles: default | 
2019-10-25 15:53:18,301 | INFO | c.e.d.ECommerceApplicationTests | [main] | Started ECommerceApplicationTests in 2.362 seconds (JVM running for 12.685) | 
2019-10-25 15:53:18,321 | DEBUG | c.e.d.c.ItemController | [main] | fetching item by name : item | 
2019-10-25 15:53:18,323 | DEBUG | c.e.d.c.ItemController | [main] | fetching item with id : 1 | 
2019-10-25 15:53:18,366 | INFO | c.e.d.c.CartController | [main] | submit order success : with id : null | 
2019-10-25 15:53:18,366 | INFO | c.e.d.c.CartController | [main] | submit order failed for user username : null | 
2019-10-25 15:53:18,373 | DEBUG | c.e.d.c.CartController | [main] | get order success with username : udacity | 
2019-10-25 15:53:18,376 | INFO | c.e.d.c.CartController | [main] | get order failed for user username : null | 
2019-10-25 15:53:18,407 | DEBUG | c.e.d.c.CartController | [main] | Find user by username : udacity | 
2019-10-25 15:53:18,409 | DEBUG | c.e.d.c.CartController | [main] | create user request : udacity | 
2019-10-25 15:53:18,410 | INFO | c.e.d.c.CartController | [main] | user creation Failed : Invalid password provided. | 
2019-10-25 15:53:18,411 | DEBUG | c.e.d.c.CartController | [main] | create user request : udacity | 
2019-10-25 15:53:18,411 | INFO | c.e.d.c.CartController | [main] | user creation Failed : Invalid password provided. | 
2019-10-25 15:53:18,411 | DEBUG | c.e.d.c.CartController | [main] | create user request : udacity | 
2019-10-25 15:53:18,414 | INFO | c.e.d.c.CartController | [main] | user creation success : with username : udacity | 
2019-10-25 16:00:45,592 | INFO | c.e.d.AuthenticationTest | [main] | Starting AuthenticationTest on PH-MTHAKUR with PID 13232 (started by mthakur in C:\Users\mthakur.CLINFO\Dropbox\java\projects\P04-eCommerce Application) | 
2019-10-25 16:00:45,604 | DEBUG | c.e.d.AuthenticationTest | [main] | Running with Spring Boot v2.1.5.RELEASE, Spring v5.1.7.RELEASE | 
2019-10-25 16:00:45,606 | INFO | c.e.d.AuthenticationTest | [main] | No active profile set, falling back to default profiles: default | 
2019-10-25 16:00:52,222 | INFO | c.e.d.AuthenticationTest | [main] | Started AuthenticationTest in 6.932 seconds (JVM running for 8.676) | 
2019-10-25 16:00:52,606 | DEBUG | c.e.d.c.CartController | [http-nio-auto-1-exec-1] | create user request : udacity | 
2019-10-25 16:00:52,760 | INFO | c.e.d.c.CartController | [http-nio-auto-1-exec-1] | user creation success : with username : udacity | 
2019-10-25 16:00:53,041 | INFO | c.e.d.c.CartController | [main] | Item added to cart successfully with item id : 1 | 
2019-10-25 16:00:53,046 | DEBUG | c.e.d.c.CartController | [main] | User not found with username : null | 
2019-10-25 16:00:53,048 | INFO | c.e.d.c.CartController | [main] | Item removed from cart with id : 2 | 
2019-10-25 16:00:53,048 | DEBUG | c.e.d.c.CartController | [main] | User not found with username : null | 
2019-10-25 16:00:53,094 | INFO | c.e.d.ECommerceApplicationTests | [main] | Starting ECommerceApplicationTests on PH-MTHAKUR with PID 13232 (started by mthakur in C:\Users\mthakur.CLINFO\Dropbox\java\projects\P04-eCommerce Application) | 
2019-10-25 16:00:53,095 | DEBUG | c.e.d.ECommerceApplicationTests | [main] | Running with Spring Boot v2.1.5.RELEASE, Spring v5.1.7.RELEASE | 
2019-10-25 16:00:53,095 | INFO | c.e.d.ECommerceApplicationTests | [main] | No active profile set, falling back to default profiles: default | 
2019-10-25 16:00:54,897 | INFO | c.e.d.ECommerceApplicationTests | [main] | Started ECommerceApplicationTests in 1.835 seconds (JVM running for 11.351) | 
2019-10-25 16:00:54,912 | DEBUG | c.e.d.c.ItemController | [main] | fetching item by name : item | 
2019-10-25 16:00:54,914 | DEBUG | c.e.d.c.ItemController | [main] | fetching item with id : 1 | 
2019-10-25 16:00:54,973 | INFO | c.e.d.c.CartController | [main] | submit order success : with id : null | 
2019-10-25 16:00:54,973 | INFO | c.e.d.c.CartController | [main] | submit order failed for user username : null | 
2019-10-25 16:00:54,977 | DEBUG | c.e.d.c.CartController | [main] | get order success with username : udacity | 
2019-10-25 16:00:54,977 | INFO | c.e.d.c.CartController | [main] | get order failed for user username : null | 
2019-10-25 16:00:55,038 | DEBUG | c.e.d.c.CartController | [main] | Find user by username : udacity | 
2019-10-25 16:00:55,041 | DEBUG | c.e.d.c.CartController | [main] | create user request : udacity | 
2019-10-25 16:00:55,042 | INFO | c.e.d.c.CartController | [main] | user creation Failed : Invalid password provided. | 
2019-10-25 16:00:55,042 | DEBUG | c.e.d.c.CartController | [main] | create user request : udacity | 
2019-10-25 16:00:55,043 | INFO | c.e.d.c.CartController | [main] | user creation Failed : Invalid password provided. | 
2019-10-25 16:00:55,043 | DEBUG | c.e.d.c.CartController | [main] | create user request : udacity | 
2019-10-25 16:00:55,046 | INFO | c.e.d.c.CartController | [main] | user creation success : with username : udacity | 
